memnuniyet_seviyesi;performans_olcumu;proje_sayisi;aylik_calisma_suresi;tecrube
81;98;5;245;5
81;98;5;245;5
52;69;6;138;5
14;64;5;164;5
99;99;4;195;2
95;64;3;242;5
92;62;4;266;2
98;73;4;140;4
72;96;5;267;5
72;96;5;267;5
72;96;5;267;5
25;62;6;271;5
11;92;6;260;4
11;92;6;260;4
11;92;6;260;4
17;92;4;189;2
82;51;2;268;2
82;51;2;268;2
25;82;3;269;5
23;64;5;150;5
97;54;3;255;2
48;41;5;286;3
92;88;3;145;4
11;89;6;264;4
75;98;3;143;2
86;93;2;260;2
23;74;5;120;4
82;97;3;244;5
76;99;4;253;5
78;95;4;260;5
85;96;4;217;5
92;66;4;113;3
92;66;4;113;3
84;93;4;251;5
84;93;4;251;5
84;93;4;251;5
57;82;3;149;5
78;91;3;132;2
62;51;4;274;2
11;82;6;270;4
11;82;6;270;4
65;93;4;270;2
14;68;5;253;5
91;89;5;217;5
62;82;5;151;5
87;94;5;219;5
75;99;5;254;5
75;99;5;254;5
75;99;5;254;5
99;62;4;256;2
95;81;3;260;2
56;75;5;143;5
97;91;3;246;2
13;74;6;132;4
84;93;4;250;5
48;51;4;103;4
86;63;3;271;2
95;71;3;263;2
83;92;4;255;5
77;89;4;270;5
93;49;4;255;2
82;98;5;234;5
82;98;5;234;5
82;98;5;234;5
88;89;3;139;2
97;86;5;135;3
98;77;4;144;4
82;98;4;233;5
82;98;4;233;5
82;98;4;233;5
99;91;3;241;2
11;85;6;267;4
85;95;5;236;5
85;95;5;236;5
85;95;5;236;5
75;89;5;272;5
98;87;4;152;2
17;81;5;280;4
86;93;5;241;5
88;58;2;123;4
94;53;5;257;2
86;92;3;260;2
55;64;3;101;2
74;99;5;146;2
83;55;5;261;5
87;94;4;256;2
88;88;5;248;5
93;98;3;238;2
99;94;5;151;3
99;94;5;151;3
48;98;3;257;2
97;89;4;248;2
97;89;4;248;2
93;87;4;257;2
72;99;5;257;5
67;36;3;280;4
52;47;6;141;5
81;98;5;237;5
81;97;3;133;3
89;52;4;243;5
81;97;5;243;5
81;97;5;243;5
81;97;5;243;5
82;83;3;271;2
75;78;4;158;5
34;85;4;123;4
91;87;4;235;5
91;87;4;235;5
91;87;4;235;5
14;99;6;251;4
11;83;6;268;4
91;98;4;146;3
24;94;6;144;4
24;94;6;144;4
83;93;4;261;2
85;68;3;272;2
71;36;4;278;4
54;64;6;278;2
93;48;3;276;3
88;92;4;225;5
87;66;3;270;2
57;96;4;264;2
92;62;3;264;2
94;88;5;150;4
88;95;3;137;3
83;54;4;259;5
61;41;3;103;2
97;63;5;258;2
97;63;5;258;2
11;87;6;264;4
68;44;5;152;5
88;98;3;160;2
96;78;2;284;3
86;94;5;224;5
72;99;3;143;4
72;99;3;143;4
78;57;5;114;4
48;97;4;141;2
86;91;5;245;5
17;91;2;271;4
82;86;4;264;5
83;68;4;273;2
54;94;6;294;3
17;85;6;245;5
88;96;4;155;2
78;99;5;241;5
13;62;5;268;3
13;62;5;268;3
84;97;4;253;2
52;59;6;104;4
85;98;5;156;2
31;37;2;104;3
15;91;5;267;4
93;53;3;257;2
17;55;6;250;5
76;95;4;259;5
79;86;5;270;2
83;64;5;272;2
89;93;5;150;2
95;54;4;255;2
95;87;4;135;3
17;76;4;171;5
97;93;2;270;4
76;91;3;133;2
39;68;2;282;5
39;68;2;282;5
56;83;5;275;2
96;95;3;236;2
88;65;3;268;2
87;89;3;140;2
21;42;4;269;4
64;86;5;274;2
97;95;4;173;2
53;81;3;275;2
53;81;3;275;2
84;85;5;260;5
84;84;6;261;5
24;91;4;232;2
19;83;5;280;4
19;83;5;280;4
64;99;5;262;5
92;98;3;149;3
92;98;3;149;3
15;76;5;277;4
16;86;2;215;2
17;73;4;274;3
99;97;4;211;2
99;97;4;211;2
94;79;4;136;2
26;95;3;195;5
33;95;4;280;3
82;92;4;252;5
93;92;3;248;2
77;59;4;273;2
77;59;4;273;2
86;93;5;223;5
86;93;5;223;5
86;93;5;223;5
75;88;5;270;5
73;36;4;253;2
55;85;4;273;2
11;93;6;253;4
55;97;2;140;2
78;92;5;137;2
79;97;4;243;5
89;99;4;274;4
24;94;4;146;4
51;97;4;258;2
51;97;4;258;2
67;93;5;133;2
61;42;3;104;2
61;42;3;104;2
98;91;3;165;2
98;91;3;165;2
98;62;3;140;4
18;75;3;142;2
18;75;3;142;2
43;38;2;278;3
79;58;3;294;4
79;58;3;294;4
79;58;3;294;4
84;76;5;172;5
82;93;4;248;5
81;97;5;230;5
77;49;4;266;2
32;95;2;184;5
92;93;4;247;2
22;53;4;244;2
92;59;4;190;5
73;92;5;266;5
95;98;5;155;3
18;75;4;170;5
91;81;4;135;2
93;77;3;202;5
87;91;4;228;5
87;91;5;228;5
87;91;4;228;5
87;91;4;228;5
87;91;5;228;5
83;95;5;230;5
52;62;3;275;2
68;41;4;254;5
99;92;4;265;4
99;92;4;265;4
84;54;3;265;2
71;87;3;271;2
72;91;3;267;2
86;84;5;254;5
86;84;5;254;5
86;84;5;254;5
24;74;5;282;3
95;49;4;269;4
83;95;5;221;5
96;93;3;238;2
15;67;5;249;5
24;94;6;237;5
91;97;3;167;2
82;93;4;246;5
32;58;5;271;5
89;88;5;228;5
89;88;5;228;5
15;36;5;159;2
81;49;4;285;4
55;97;4;136;4
77;79;3;273;2
99;64;4;135;2
17;59;5;250;5
12;49;4;191;5
12;49;4;191;5
11;81;6;266;4
11;81;6;266;4
11;81;6;266;4
84;93;5;236;5
98;99;3;253;4
89;95;4;141;3
99;98;4;259;3
68;94;3;264;2
81;73;4;272;2
78;54;4;102;3
21;93;4;189;2
86;94;3;151;2
82;97;3;137;3
39;86;3;261;2
55;98;2;144;2
48;87;3;267;2
91;52;3;256;2
77;99;5;228;5
77;99;5;228;5
77;99;5;228;5
96;68;3;132;2
96;68;3;132;2
64;52;4;271;2
21;92;2;211;2
81;52;3;255;5
77;87;5;266;5
77;87;5;266;5
77;87;5;266;5
87;88;5;240;5
87;88;5;240;5
91;68;4;132;4
91;68;4;132;4
93;95;6;147;3
76;98;5;242;5
75;98;4;245;5
91;99;5;152;3
99;87;4;162;4
14;55;6;175;5
94;99;2;157;3
94;99;2;157;3
83;83;5;260;5
74;89;4;267;5
15;81;3;191;5
15;81;3;191;5
21;61;6;159;5
45;55;5;268;2
84;65;3;269;2
88;88;5;232;5
88;88;5;232;5
88;88;5;232;5
95;94;2;269;4
11;95;6;245;4
11;95;6;245;4
97;97;5;192;2
59;51;2;145;5
52;41;3;283;3
89;56;4;241;5
89;55;3;260;2
89;87;5;225;5
89;87;5;225;5
89;87;5;225;5
78;84;3;269;2
99;92;4;229;2
94;74;4;224;5
99;94;5;221;2
52;96;4;125;3
94;96;4;270;3
75;99;2;237;5
75;99;2;237;5
82;94;5;236;5
82;94;5;236;5
15;85;3;199;2
78;71;4;296;3
84;47;3;125;4
59;94;4;136;2
73;99;6;206;5
37;41;6;101;3
99;96;5;261;3
98;81;3;153;4
89;82;4;243;5
89;82;4;243;5
11;85;6;261;4
11;85;6;261;4
11;85;6;261;4
64;48;4;267;2
75;73;4;274;2
95;83;4;252;2
84;92;4;234;5
84;92;4;234;5
84;92;4;234;5
82;86;5;257;5
82;86;5;257;5
54;68;3;144;5
88;81;5;193;5
75;69;3;274;2
81;83;3;132;4
83;98;3;159;2
74;92;4;261;5
74;92;4;261;5
74;92;4;261;5
59;97;3;258;2
14;73;5;273;4
82;82;5;267;2
69;99;3;133;3
76;98;4;237;5
79;87;5;261;5
79;87;5;261;5
79;87;5;261;5
62;43;2;106;2
78;96;4;241;5
14;79;5;271;4
14;79;5;271;4
95;77;5;139;2
82;94;5;232;5
53;51;6;272;5
24;94;6;141;3
24;94;6;141;3
78;96;2;285;3
78;96;2;285;3
73;91;3;135;2
73;99;5;241;5
73;99;5;241;5
73;99;5;241;5
98;51;3;243;2
84;89;4;245;5
75;61;4;272;2
69;66;3;113;4
21;99;6;165;4
95;64;3;138;4
91;93;5;158;4
75;97;4;245;5
98;39;5;158;4
96;92;4;148;3
94;86;3;150;2
98;72;3;252;2
89;57;3;113;3
49;52;4;267;2
21;37;4;129;4
75;99;5;221;5
75;99;5;221;5
75;99;5;221;5
85;87;5;246;5
85;87;5;246;5
11;83;6;262;4
79;96;4;234;5
93;96;3;268;4
83;85;4;255;5
83;85;4;255;5
83;85;4;255;5
87;54;3;260;2
85;91;5;226;5
85;91;5;226;5
85;91;5;226;5
92;65;4;260;2
89;79;4;133;2
97;76;6;142;2
76;89;5;262;5
76;89;5;262;5
76;89;5;262;5
77;92;5;255;5
98;92;4;175;2
29;66;3;256;2
82;92;3;257;2
31;98;5;232;5
99;92;3;154;3
95;62;4;255;2
92;92;3;244;2
12;95;3;236;3
94;99;3;207;2
31;75;3;120;4
97;81;3;249;2
63;56;4;274;5
87;84;5;137;2
85;87;5;245;5
85;87;5;245;5
89;64;3;184;5
58;84;4;271;2
64;79;4;274;2
74;99;4;233;5
74;99;4;233;5
74;99;4;233;5
85;67;3;267;2
83;92;4;235;5
17;57;4;116;3
17;57;4;116;3
79;96;5;218;5
72;94;4;258;5
72;94;4;258;5
69;82;4;272;2
11;87;6;257;4
11;87;6;257;4
22;58;2;255;5
86;99;3;169;2
11;89;6;254;4
94;92;3;273;3
74;62;4;272;2
64;52;3;269;2
11;79;6;264;4
98;91;3;264;4
75;85;5;267;5
75;85;5;267;5
21;76;5;239;2
11;85;6;259;4
17;83;6;195;5
92;64;4;259;2
92;64;4;259;2
62;95;4;140;2
62;95;4;140;2
73;83;4;270;2
65;97;4;145;2
25;83;3;257;5
85;59;2;264;2
67;52;2;152;5
91;81;4;139;2
14;58;3;179;5
14;58;3;179;5
57;42;4;154;5
66;85;6;165;5
82;94;3;253;2
19;91;3;268;4
97;54;3;271;3
14;73;6;237;5
14;73;6;237;5
24;89;5;142;4
17;82;5;193;5
19;81;5;245;5
58;87;3;268;2
64;78;5;156;5
81;87;4;254;5
81;87;4;254;5
81;87;4;254;5
99;98;4;169;3
81;84;5;258;5
21;52;5;130;2
13;77;4;201;5
94;97;2;221;2
67;48;6;107;2
99;79;3;271;4
73;83;5;270;5
94;52;3;273;3
94;52;3;273;3
81;98;3;141;3
91;59;4;133;4
92;76;4;258;2
81;99;5;143;3
18;86;6;264;3
28;59;6;281;3
28;59;6;281;3
65;86;4;269;2
17;45;2;119;3
96;89;3;163;2
71;37;2;179;5
71;37;2;179;5
57;98;3;188;5
19;91;5;145;3
58;96;5;143;2
11;77;6;264;4
76;87;5;262;5
76;87;5;262;5
71;99;2;136;3
81;92;5;239;5
81;92;5;239;5
81;92;5;239;5
81;92;5;239;5
81;92;5;239;5
76;44;3;121;4
17;52;6;176;5
79;95;5;228;5
11;87;6;255;4
11;87;6;255;4
36;44;4;114;4
64;57;4;271;2
14;81;4;138;3
21;66;4;165;5
71;96;4;131;3
46;79;2;108;3
95;74;3;139;2
94;85;3;137;3
97;55;2;267;4
72;95;3;145;2
92;91;3;160;2
77;51;2;254;5
85;89;4;221;5
48;89;3;261;2
87;56;4;121;2
65;77;4;273;2
96;63;4;142;4
63;96;3;144;2
11;88;6;253;4
18;81;5;140;4
95;97;4;203;2
45;66;3;111;4
18;84;4;231;5
17;36;6;191;2
17;36;6;191;2
89;49;4;275;3
89;49;4;275;3
99;62;4;140;2
69;94;5;259;2
61;99;4;251;2
53;74;4;272;2
74;97;5;238;5
21;93;4;260;3
23;67;4;163;5
82;92;5;225;5
82;92;5;225;5
82;92;5;225;5
67;94;4;141;2
76;37;3;127;4
34;72;3;118;4
34;72;3;118;4
86;92;5;137;3
11;87;6;254;4
99;86;3;166;2
71;96;4;144;4
59;75;2;273;2
93;88;5;140;3
18;51;6;227;2
96;68;4;137;2
53;77;2;271;2
96;95;5;189;2
99;93;3;261;3
85;55;4;260;2
97;95;5;201;2
88;89;4;135;3
93;87;5;154;2
51;91;4;269;5
75;96;4;150;2
65;87;4;267;2
93;84;5;135;3
79;36;3;114;3
78;98;5;158;2
94;57;4;251;2
82;97;3;160;2
79;94;4;232;5
79;94;4;232;5
69;63;4;272;2
84;88;5;237;5
98;89;3;150;3
11;81;6;260;4
49;47;4;285;3
89;76;4;133;2
58;77;5;272;2
72;99;4;156;2
96;84;4;272;4
96;97;4;260;3
36;65;3;116;2
34;81;4;116;3
63;84;3;269;2
82;91;5;232;5
82;91;5;232;5
82;91;5;232;5
85;78;5;263;2
99;86;3;167;2
99;86;3;167;2
61;59;5;271;2
18;79;4;240;5
53;66;3;109;2
76;96;4;135;3
11;89;6;250;4
65;98;3;252;2
65;98;3;252;2
92;94;3;234;2
59;68;4;273;2
78;87;5;256;5
99;92;5;213;2
98;56;3;139;2
22;51;4;131;2
72;82;5;269;5
98;61;3;272;3
54;95;5;255;2
84;96;3;161;2
73;88;5;134;2
74;89;5;259;5
87;84;5;231;5
87;84;5;231;5
87;84;5;231;5
68;61;5;271;2
85;87;6;232;5
85;87;6;232;5
67;83;5;269;2
45;39;4;275;3
29;75;3;124;4
95;99;5;251;4
95;99;5;251;4
75;48;3;250;5
11;86;6;254;4
63;78;2;158;5
85;99;4;233;2
98;79;4;138;3
65;86;4;267;2
85;85;4;258;2
83;88;5;239;5
17;61;3;241;5
91;93;3;238;2
57;82;4;269;2
57;82;4;269;2
93;91;2;238;2
93;91;2;238;2
74;97;4;228;5
74;97;4;228;5
74;97;4;228;5
73;97;5;235;5
73;97;5;235;5
73;97;5;235;5
52;84;2;266;2
73;99;4;152;4
86;68;5;263;2
86;68;5;263;2
86;68;5;263;2
81;99;3;239;2
84;86;5;240;5
89;91;5;156;4
43;93;6;127;3
98;69;3;274;3
31;95;6;235;5
16;78;4;196;5
99;53;4;131;3
96;88;4;165;2
77;73;3;269;2
35;58;3;103;3
18;95;6;248;3
94;95;4;155;3
78;86;5;256;5
56;63;4;271;2
34;91;4;284;4
62;89;3;131;4
44;67;3;113;2
84;65;4;264;2
93;98;4;160;3
99;99;3;228;4
68;75;6;274;5
74;86;5;262;5
13;73;5;206;5
59;59;4;270;2
88;98;3;152;3
15;67;4;264;3
24;79;2;175;5
97;94;3;202;2
31;54;5;259;5
98;93;5;203;2
11;88;5;250;4
11;88;5;250;4
11;88;5;250;4
73;83;5;266;5
54;96;3;147;2
82;85;5;248;5
82;85;5;248;5
82;85;5;248;5
37;72;3;121;2
37;72;3;121;2
92;53;2;249;2
75;76;3;269;2
75;76;3;269;2
74;64;3;267;5
93;97;4;158;3
52;96;5;251;2
24;58;5;279;4
84;94;4;246;2
91;67;3;257;2
96;82;4;274;3
39;38;2;106;3
71;72;3;271;2
71;72;3;271;2
92;74;3;137;2
75;86;5;260;5
97;63;3;270;4
63;73;3;272;2
24;53;6;165;5
79;93;4;226;5
79;93;4;226;5
81;91;4;229;5
81;91;4;229;5
11;78;6;260;4
11;78;6;260;4
11;78;6;260;4
38;78;4;159;5
52;38;2;103;3
52;38;2;103;3
38;94;5;252;5
53;85;2;164;5
53;85;2;164;5
53;85;2;164;5
62;77;3;271;2
12;61;6;257;3
12;61;6;257;3
68;95;4;146;2
91;82;6;280;3
76;92;4;246;5
76;92;4;246;5
76;92;4;246;5
65;99;5;240;5
96;78;3;135;3
96;45;6;232;2
86;96;4;146;3
69;74;2;271;2
19;58;4;173;5
19;58;4;173;5
85;76;4;262;2
99;78;4;140;3
91;79;4;254;2
68;99;3;247;2
95;71;3;251;2
74;96;4;231;5
73;95;3;149;2
73;87;4;263;2
16;97;6;235;3
74;94;3;132;3
97;94;3;160;3
23;84;5;140;4
88;91;3;157;2
81;88;5;242;5
81;88;5;242;5
81;88;5;242;5
89;75;5;258;2
96;93;3;156;3
83;57;2;246;5
62;55;3;108;2
52;63;3;269;2
24;88;5;199;5
24;88;5;199;5
18;86;5;267;4
47;53;3;111;4
47;53;3;111;4
13;61;5;198;5
13;61;5;198;5
75;83;5;262;5
83;91;3;251;2
95;86;5;143;3
82;86;5;243;5
82;86;5;243;5
82;86;5;243;5
58;62;5;270;2
85;86;3;255;2
15;44;3;199;2
82;58;4;249;5
47;44;5;255;5
86;74;4;261;2
97;74;3;134;3
52;99;3;136;3
96;88;3;168;2
86;84;5;222;5
86;84;5;222;5
86;84;5;222;5
99;72;4;136;3
48;51;5;286;3
59;67;4;271;2
87;92;4;141;3
31;42;2;169;5
98;97;4;196;4
59;95;5;254;2
78;43;4;275;3
78;43;4;275;3
78;93;5;225;5
78;93;4;225;5
78;93;4;225;5
32;95;5;172;2
32;95;5;172;2
32;95;5;172;2
86;89;3;250;2
86;49;4;251;2
95;65;3;273;4
82;87;4;239;5
82;87;4;239;5
82;87;4;239;5
82;89;5;217;5
34;62;3;119;2
74;87;5;258;5
49;91;4;134;4
49;91;4;134;4
85;89;4;251;2
15;74;6;212;2
94;81;3;150;2
89;68;4;258;2
83;93;3;247;2
83;93;3;247;2
82;82;4;249;5
55;92;4;257;2
76;93;5;238;5
76;99;3;164;2
95;78;2;148;2
74;93;5;244;5
96;91;5;179;2
84;61;4;261;2
84;84;5;238;5
14;88;3;162;4
61;79;5;269;2
54;82;4;266;2
16;69;4;187;5
17;73;4;188;5
99;85;5;261;4
57;78;3;109;3
15;53;4;205;5
92;97;4;201;2
78;78;4;260;5
34;51;3;105;3
94;48;4;260;4
56;67;3;270;2
56;67;3;270;2
77;93;4;231;5
77;93;4;231;5
77;93;4;231;5
98;96;4;253;3
89;99;4;205;2
89;99;4;205;2
31;92;5;197;5
13;65;2;209;5
97;83;3;238;2
97;83;3;238;2
57;66;4;270;2
91;98;3;259;4
92;98;4;161;3
93;95;2;156;3
91;53;2;273;3
67;63;3;270;5
72;68;5;162;5
65;75;4;270;2
92;61;4;252;2
87;97;5;151;3
87;97;5;151;3
84;83;4;239;5
14;57;4;207;5
66;74;4;270;2
53;78;5;275;5
32;55;4;283;4
64;85;4;265;2
65;98;3;136;3
82;84;5;244;5
82;84;5;244;5
82;84;5;244;5
56;57;2;112;4
99;62;5;133;3
83;76;3;262;2
68;99;3;159;2
68;99;3;159;2
74;98;4;160;2
11;84;6;252;4
75;83;4;133;4
75;83;4;133;4
71;95;3;150;2
84;83;5;238;5
65;86;4;264;2
83;85;5;237;5
83;85;5;237;5
81;53;3;258;2
61;55;5;266;2
49;99;6;205;5
43;38;3;119;2
43;38;3;119;2
74;99;2;277;3
74;99;2;277;3
74;99;2;277;3
77;92;5;235;5
77;92;5;235;5
61;97;6;286;4
61;97;6;286;4
65;55;3;156;5
65;55;3;156;5
11;83;6;253;4
93;94;3;183;2
84;82;5;240;5
94;73;5;142;2
76;92;4;239;5
76;92;4;239;5
76;92;4;239;5
62;89;4;261;2
62;89;4;261;2
23;56;5;169;5
82;83;4;245;5
62;96;5;251;2
19;61;3;272;4
81;92;3;136;3
81;61;2;176;5
81;61;2;176;5
21;85;6;221;5
67;53;3;264;2
83;82;4;243;5
48;81;5;113;3
88;77;4;224;5
55;57;3;266;2
23;72;6;121;3
79;48;4;184;5
78;97;4;142;3
73;87;5;257;5
73;87;5;257;5
73;87;5;257;5
79;89;5;239;5
79;89;5;239;5
79;89;5;239;5
15;56;4;214;5
29;38;5;191;5
29;38;5;191;5
94;88;4;270;3
94;88;3;270;3
81;64;6;176;5
93;97;5;255;4
82;49;4;276;4
82;49;4;276;4
82;84;3;139;2
81;96;4;143;3
15;92;5;164;3
89;93;3;168;2
61;84;4;265;2
19;91;6;152;3
95;75;3;247;2
92;94;2;224;2
92;94;2;224;2
83;73;4;262;2
11;84;6;251;4
11;84;6;251;4
11;84;6;251;4
11;84;6;251;4
11;84;6;251;4
11;84;6;251;4
92;85;3;155;2
66;85;3;266;5
97;89;3;264;3
93;69;3;138;2
51;64;3;267;2
22;74;5;178;5
64;38;5;122;4
64;38;5;122;4
16;76;6;210;5
78;86;4;249;5
14;63;6;215;5
17;76;4;199;5
98;89;4;218;2
98;89;4;218;2
91;91;6;167;2
51;87;2;130;4
51;87;2;130;4
24;77;5;178;5
83;55;3;257;2
25;59;4;166;5
86;73;5;259;2
66;93;5;253;5
66;93;5;253;5
91;74;6;253;2
77;91;5;236;5
77;91;5;236;5
77;91;5;236;5
94;83;4;156;2
16;71;6;227;5
68;48;5;113;2
24;42;5;210;5
24;42;5;210;5
58;81;4;266;2
96;86;4;268;3
68;81;5;266;2
73;97;3;245;2
98;89;3;186;2
92;67;2;252;2
92;67;2;252;2
89;57;3;252;2
25;45;3;228;5
96;93;4;260;3
77;89;5;243;5
94;59;3;137;2
73;91;4;247;5
91;94;4;264;4
93;94;4;217;2
93;94;4;156;3
69;78;5;267;2
91;89;4;144;3
16;54;5;206;5
16;54;5;206;5
81;55;3;127;4
48;53;3;113;4
86;89;4;153;4
86;89;4;153;4
83;99;4;226;2
95;93;3;209;2
14;47;4;175;2
52;37;2;118;2
52;37;2;118;2
83;77;3;260;2
48;69;3;105;3
75;93;5;229;5
76;52;4;259;2
72;93;4;148;2
72;95;4;220;5
87;96;4;151;3
74;85;5;135;2
44;97;4;240;5
85;76;3;197;5
41;47;4;104;3
26;69;2;168;5
92;93;4;225;2
92;93;4;225;2
61;83;5;269;5
79;67;3;264;2
21;81;5;142;4
87;71;3;132;2
82;69;4;262;2
95;81;4;272;3
97;47;3;157;4
96;74;5;244;2
25;82;5;244;5
84;99;2;184;2
92;49;3;240;2
67;52;4;262;2
62;98;4;137;3
23;59;5;245;5
98;58;4;133;3
98;58;4;133;3
19;85;6;259;3
77;87;5;257;2
57;55;3;264;2
42;56;2;103;3
69;91;4;128;3
93;99;3;169;3
93;99;3;169;3
84;83;4;227;5
84;83;4;227;5
84;83;4;227;5
66;95;3;133;3
53;59;4;265;2
97;69;4;134;3
79;84;5;247;5
95;84;3;270;3
95;84;3;270;3
57;59;2;111;2
57;59;2;111;2
62;95;4;132;3
48;39;4;272;3
79;64;4;263;2
78;87;5;243;5
78;81;4;253;5
97;75;3;241;2
63;88;4;260;2
14;93;4;180;4
22;65;5;174;5
98;64;4;134;3
22;67;6;175;5
98;74;4;139;3
91;49;3;267;3
38;92;5;238;2
59;72;2;107;3
73;51;4;249;5
86;65;4;134;4
18;81;4;147;4
18;81;4;147;4
52;53;2;286;3
15;67;6;209;5
64;94;3;148;2
66;67;4;268;2
95;67;4;270;4
72;83;3;132;2
98;69;3;150;2
91;95;3;189;2
54;91;3;142;2
94;51;5;238;2
92;98;3;257;3
92;98;3;257;3
76;84;5;137;4
74;87;4;258;2
85;79;4;138;2
11;86;6;245;4
96;72;3;272;3
76;58;3;262;2
15;55;3;255;3
76;51;4;281;3
14;56;5;259;4
14;56;5;259;4
84;99;4;219;2
25;97;3;158;3
63;81;4;265;2
96;85;5;168;2
96;85;5;168;2
65;68;3;268;2
23;99;5;176;4
96;98;5;248;3
86;95;4;149;3
86;95;4;149;3
16;94;3;178;4
95;65;5;142;2
69;97;3;158;2
88;98;3;263;3
79;84;5;245;5
98;64;3;263;4
97;75;5;270;3
97;67;2;147;2
74;51;5;258;2
28;83;5;279;4
21;82;4;207;5
99;81;4;229;2
94;92;3;187;2
92;76;5;132;3
92;76;5;132;3
99;87;4;190;2
92;69;3;139;2
91;59;3;134;2
61;88;5;134;4
15;89;3;251;4
84;46;5;118;3
79;89;3;252;2
31;41;2;263;3
73;87;5;252;5
21;81;4;227;5
76;82;4;254;5
99;87;5;211;2
37;71;6;266;5
94;48;4;143;2
66;56;2;104;3
86;58;4;220;5
83;89;4;136;3
82;85;5;218;5
92;91;3;228;2
94;85;4;236;2
18;73;5;228;5
82;85;4;223;5
82;85;4;223;5
82;85;4;223;5
51;94;4;247;2
51;53;4;260;2
97;63;3;133;3
72;86;4;137;2
89;88;5;241;2
89;88;5;241;2
99;59;5;263;3
73;93;5;229;5
36;77;4;252;2
33;85;2;127;3
76;91;4;219;5
55;97;4;136;3
89;53;5;272;3
94;46;2;230;2
95;71;4;151;4
95;71;4;151;4
82;88;4;149;2
39;87;5;257;5
21;53;3;229;5
76;87;5;245;5
76;87;5;245;5
76;87;5;245;5
97;81;3;145;3
72;84;5;257;5
72;84;5;257;5
73;95;3;156;2
64;74;3;267;2
62;61;3;266;2
62;61;3;266;2
71;88;3;140;2
15;78;5;255;3
85;99;3;208;2
85;99;3;208;2
98;63;3;135;3
63;98;4;160;2
63;72;2;161;5
94;61;3;140;2
94;61;3;140;2
73;86;4;138;2
97;94;4;253;3
97;94;4;253;3
69;82;3;262;5
98;53;6;253;4
76;89;5;238;5
76;89;5;238;5
77;74;5;263;2
21;81;4;144;4
93;86;4;145;3
77;98;3;273;3
59;86;4;260;2
81;49;2;205;5
19;63;4;233;5
99;67;5;153;2
96;92;3;182;4
98;92;3;254;3
94;51;5;142;2
95;86;2;263;4
95;81;4;238;2
69;74;4;266;2
15;62;4;257;3
87;76;5;254;2
83;72;3;259;2
12;82;5;162;4
73;93;3;249;2
73;93;3;249;2
77;73;5;263;2
98;69;3;152;2
85;62;2;280;4
65;96;2;246;2
74;96;4;154;4
75;87;5;246;5
17;59;3;197;5
95;53;3;264;3
95;53;3;264;3
95;45;3;225;2
92;99;4;245;4
83;78;3;257;2
72;84;4;256;5
72;84;4;256;5
66;57;5;161;5
66;57;5;161;5
66;57;5;161;5
64;94;3;150;2
93;82;5;272;3
97;78;3;268;3
97;78;3;268;3
61;97;3;137;3
97;89;4;208;2
97;89;4;208;2
89;99;4;258;3
89;99;2;258;3
89;99;2;258;3
98;59;4;149;2
18;54;6;209;5
18;54;6;209;5
96;82;5;164;2
19;52;5;200;5
21;84;3;194;2
96;85;5;171;2
78;87;4;236;5
94;82;4;159;2
73;92;5;232;5
73;92;5;232;5
98;54;5;260;3
79;87;4;253;2
63;95;4;134;3
83;89;4;137;3
79;86;5;235;5
79;86;5;235;5
79;86;5;235;5
98;99;3;235;3
88;96;5;173;4
88;66;4;133;2
72;88;5;249;5
65;95;4;153;2
97;91;4;257;3
61;48;4;257;2
34;81;3;257;5
89;91;3;233;2
89;91;3;233;2
89;76;3;251;2
58;89;3;256;2
83;61;5;257;2
49;95;4;156;2
77;89;2;215;5
84;92;4;274;3
18;92;5;251;4
15;55;6;139;4
75;93;3;247;2
75;93;3;247;2
86;97;4;155;3
74;91;4;232;5
74;91;4;232;5
74;91;4;232;5
99;37;5;155;3
79;84;4;240;5
79;84;4;240;5
44;68;2;120;2
98;91;3;188;4
98;91;3;188;4
26;81;5;139;4
88;77;3;279;3
97;66;4;149;2
11;55;2;137;3
76;53;6;281;3
93;92;5;189;2
79;87;4;223;5
79;87;4;223;5
99;86;4;206;2
97;86;3;257;4
18;73;4;219;5
69;64;5;265;2
78;91;5;150;4
87;48;4;133;2
99;86;4;196;2
85;99;5;176;4
92;76;5;246;2
84;97;6;223;2
98;58;4;136;3
95;53;4;263;3
98;55;3;260;3
81;84;4;143;2
96;94;3;167;3
94;69;5;145;2
94;69;5;145;2
78;61;5;260;2
99;58;4;138;3
16;73;4;197;2
16;73;4;197;2
83;81;5;219;5
83;81;5;219;5
88;89;2;160;4
72;86;5;251;5
98;72;3;262;4
78;51;4;278;3
14;43;2;238;3
91;79;5;273;4
66;63;5;264;5
52;98;4;165;2
73;86;5;249;5
87;93;3;173;2
87;93;3;173;2
37;62;4;253;2
57;86;3;258;2
78;99;3;151;3
99;75;4;163;2
99;75;4;163;2
95;48;4;228;2
95;48;4;228;2
24;87;4;262;3
55;81;4;267;5
75;88;4;239;5
92;91;4;222;2
32;42;6;114;3
52;85;4;257;2
99;89;4;254;3
46;55;5;261;5
74;94;4;157;2
74;94;4;157;2
68;88;5;256;2
73;97;3;165;2
17;64;6;205;5
68;61;3;261;5
69;92;4;149;2
84;79;6;140;2
84;53;2;275;3
78;87;4;228;5
78;87;4;228;5
78;87;4;228;5
93;54;4;239;2
22;61;6;237;5
79;86;5;226;5
98;63;3;137;3
